Date/Time,Open,High,Low,Difference %
2025.11.13,1.15921,1.16349,1.15789,0.48
2025.11.12,1.15820,1.15978,1.15631,0.30
2025.11.11,1.15563,1.15601,1.15534,0.06
2025.11.10,1.15562,1.15829,1.15409,0.36
2025.11.07,1.15463,1.15910,1.15294,0.53
2025.11.06,1.14917,1.15522,1.14905,0.54
2025.11.05,1.14816,1.14978,1.14687,0.25
2025.11.04,1.15190,1.15334,1.14729,0.53
2025.11.03,1.15294,1.15413,1.15050,0.31
2025.10.31,1.15632,1.15775,1.15214,0.49
2025.10.30,1.16007,1.16374,1.15470,0.78
2025.10.29,1.16504,1.16660,1.15773,0.76
2025.10.28,1.16440,1.16686,1.16255,0.37
2025.10.27,1.16346,1.16520,1.16176,0.30
2025.10.24,1.16177,1.16490,1.16008,0.41
2025.10.23,1.16100,1.16200,1.15853,0.30
2025.10.22,1.15988,1.16224,1.15767,0.39
2025.10.21,1.16413,1.16550,1.15975,0.49
2025.10.20,1.16646,1.16753,1.16382,0.32
2025.10.17,1.16864,1.17283,1.16496,0.67
2025.10.16,1.16461,1.16941,1.16418,0.45
2025.10.15,1.16060,1.16476,1.16017,0.40
2025.10.14,1.15690,1.16148,1.15423,0.63
2025.10.13,1.16138,1.16297,1.15574,0.62
2025.10.10,1.15634,1.16305,1.15551,0.65
2025.10.09,1.16275,1.16480,1.15420,0.91
2025.10.08,1.16559,1.16610,1.15983,0.54
2025.10.07,1.17104,1.17144,1.16474,0.57
2025.10.06,1.17209,1.17307,1.16516,0.67
2025.10.03,1.17154,1.17591,1.17130,0.39
2025.10.02,1.17268,1.17583,1.16829,0.64
2025.10.01,1.17325,1.17785,1.17154,0.54
2025.09.30,1.17254,1.17615,1.17119,0.42
2025.09.29,1.16986,1.17544,1.16986,0.48
2025.09.26,1.16653,1.17072,1.16568,0.43
2025.09.25,1.17367,1.17538,1.16454,0.92
2025.09.24,1.18138,1.18190,1.17280,0.77
2025.09.23,1.18026,1.18199,1.17787,0.35
2025.09.22,1.17449,1.18034,1.17262,0.66
2025.09.19,1.17841,1.17925,1.17286,0.54
2025.09.18,1.18120,1.18482,1.17500,0.83
2025.09.17,1.18657,1.19186,1.18077,0.93
2025.09.16,1.17606,1.18783,1.17572,1.03
2025.09.15,1.17303,1.17744,1.17160,0.50
2025.09.12,1.17326,1.17475,1.17013,0.39
2025.09.11,1.16945,1.17460,1.16589,0.74
