Date/Time,Open,High,Low,Difference %
2025.11.13,154.775,155.018,154.324,0.45
2025.11.12,154.128,155.048,154.022,0.67
2025.11.11,154.143,154.153,153.884,0.17
2025.11.10,153.687,154.249,153.402,0.55
2025.11.07,153.054,153.595,152.817,0.51
2025.11.06,154.113,154.140,152.831,0.85
2025.11.05,153.665,154.356,152.957,0.91
2025.11.04,154.208,154.482,153.314,0.76
2025.11.03,153.939,154.296,153.899,0.26
2025.10.31,154.117,154.412,153.652,0.49
2025.10.30,152.715,154.444,152.162,1.49
2025.10.29,152.101,153.059,151.537,1.00
2025.10.28,152.869,152.869,151.758,0.73
2025.10.27,152.805,153.255,152.565,0.45
2025.10.24,152.542,153.061,152.251,0.53
2025.10.23,151.967,152.797,151.821,0.64
2025.10.22,151.924,152.045,151.487,0.37
2025.10.21,150.730,152.174,150.469,1.13
2025.10.20,150.353,151.200,150.273,0.62
2025.10.17,150.419,150.636,149.378,0.84
2025.10.16,151.043,151.397,150.212,0.78
2025.10.15,151.830,151.870,150.900,0.64
2025.10.14,152.264,152.612,151.604,0.66
2025.10.13,151.822,152.448,151.721,0.48
2025.10.10,153.001,153.272,151.119,1.41
2025.10.09,152.677,153.231,152.108,0.74
2025.10.08,151.893,152.998,151.737,0.83
2025.10.07,150.342,152.043,150.189,1.23
2025.10.06,149.491,150.475,149.044,0.96
2025.10.03,147.222,147.814,147.067,0.51
2025.10.02,147.044,147.514,146.599,0.62
2025.10.01,147.841,148.226,146.587,1.11
2025.09.30,148.583,148.845,147.649,0.80
2025.09.29,149.399,149.513,148.469,0.70
2025.09.26,149.784,149.955,149.404,0.37
2025.09.25,148.892,149.928,148.558,0.92
2025.09.24,147.615,148.915,147.505,0.96
2025.09.23,147.702,147.926,147.459,0.32
2025.09.22,147.867,148.376,147.658,0.49
2025.09.19,147.991,148.281,147.197,0.73
2025.09.18,146.941,148.267,146.768,1.02
2025.09.17,146.473,147.048,145.481,1.07
2025.09.16,147.378,147.538,146.277,0.86
2025.09.15,147.403,147.776,147.232,0.37
2025.09.12,147.200,148.072,147.021,0.71
2025.09.11,147.454,148.179,146.985,0.81
2025.09.10,147.404,147.647,147.084,0.38
2025.09.09,147.476,147.524,146.309,0.82
2025.09.08,148.088,148.576,147.340,0.83
2025.09.05,148.479,148.513,146.816,1.14
2025.09.04,148.070,148.777,147.789,0.67
2025.09.03,148.352,149.136,147.880,0.85
2025.09.02,147.169,148.939,147.030,1.30
2025.09.01,147.040,147.378,146.785,0.40
2025.08.29,146.907,147.408,146.745,0.45
2025.08.28,147.343,147.489,146.660,0.56
2025.08.27,147.359,148.183,147.235,0.64
2025.08.26,147.764,147.907,146.984,0.62
2025.08.25,146.829,147.936,146.758,0.80
2025.08.22,148.364,148.777,146.572,1.49
2025.08.21,147.315,148.405,147.199,0.82
2025.08.20,147.662,147.813,146.870,0.64
2025.08.19,147.870,148.112,147.446,0.45
2025.08.18,147.152,147.984,147.080,0.61
2025.08.15,147.750,147.866,146.736,0.76
2025.08.14,147.361,147.962,146.213,1.19
2025.08.13,147.838,148.168,147.087,0.73
2025.08.12,148.141,148.517,147.577,0.63
2025.08.11,147.470,148.250,147.349,0.61
2025.08.08,147.109,147.901,146.718,0.80
2025.08.07,147.360,147.711,146.691,0.69
2025.08.06,147.601,147.885,146.974,0.62
2025.08.05,147.074,147.834,146.617,0.83
2025.08.04,147.240,148.087,146.864,0.83
2025.08.01,150.721,150.916,147.290,2.41
2025.07.31,149.478,150.837,148.585,1.51
2025.07.30,148.410,149.532,147.802,1.17
2025.07.29,148.421,148.806,148.156,0.44
2025.07.28,147.694,148.575,147.518,0.72
2025.07.25,146.993,147.939,146.808,0.77
2025.07.24,146.461,147.023,145.853,0.80
2025.07.23,146.583,147.215,146.107,0.76
2025.07.22,147.275,147.947,146.309,1.11
2025.07.21,147.902,148.662,147.084,1.07
2025.07.18,148.446,148.882,148.185,0.47
2025.07.17,147.702,149.087,147.701,0.94
2025.07.16,148.859,149.184,146.908,1.53
2025.07.15,147.689,149.019,147.552,0.99
2025.07.14,147.135,147.778,146.849,0.63
2025.07.11,146.240,147.520,146.136,0.95
2025.07.10,146.308,146.786,145.753,0.71
2025.07.09,146.542,147.182,146.251,0.64
2025.07.08,146.012,146.976,145.830,0.78
2025.07.07,144.376,146.239,144.223,1.40
2025.07.04,144.915,144.967,144.181,0.54
2025.07.03,143.602,145.232,143.443,1.25
2025.07.02,143.366,144.244,143.319,0.65
2025.07.01,143.998,144.046,142.679,0.95
2025.06.30,144.300,144.762,143.779,0.68
2025.06.27,144.357,144.945,144.176,0.53
2025.06.26,145.163,145.261,143.750,1.04
2025.06.25,144.887,145.949,144.606,0.93
2025.06.24,146.000,146.172,144.512,1.14
2025.06.23,146.671,148.025,146.009,1.37
2025.06.20,145.301,146.214,145.120,0.75
2025.06.19,145.110,145.770,144.734,0.71
2025.06.18,145.107,145.440,144.327,0.77
2025.06.17,144.706,145.380,144.383,0.69
2025.06.16,143.946,144.875,143.651,0.85
2025.06.13,143.459,144.481,142.790,1.18
2025.06.12,144.525,144.542,143.183,0.94
2025.06.11,144.809,145.463,144.321,0.79
2025.06.10,144.518,145.287,144.402,0.61
2025.06.09,144.807,144.947,143.974,0.67
2025.06.06,143.579,145.086,143.308,1.24
2025.06.05,142.731,143.975,142.530,1.01
2025.06.04,143.820,144.392,142.603,1.24
2025.06.03,142.672,144.107,142.378,1.21
2025.06.02,143.795,143.986,142.538,1.01
2025.05.30,144.180,144.442,143.437,0.70
2025.05.29,144.795,146.285,143.959,1.61
2025.05.28,144.313,145.076,143.851,0.85
2025.05.27,142.831,144.460,142.112,1.64
2025.05.26,142.441,143.080,142.225,0.60
2025.05.23,143.997,144.081,142.422,1.15
2025.05.22,143.661,144.398,142.802,1.11
2025.05.21,144.493,144.567,143.282,0.89
2025.05.20,144.840,145.512,144.089,0.98
2025.05.19,145.284,145.447,144.660,0.54
2025.05.16,145.644,146.097,144.920,0.81
2025.05.15,146.739,146.749,145.409,0.91
2025.05.14,147.470,147.670,145.601,1.40
2025.05.13,148.449,148.456,147.373,0.73
2025.05.12,146.213,148.651,145.698,2.02
2025.05.09,145.900,146.185,144.823,0.93
2025.05.08,143.797,146.176,143.443,1.90
2025.05.07,142.456,143.997,142.354,1.15
2025.05.06,143.683,144.275,142.353,1.34
2025.05.05,144.662,144.989,143.539,1.00
2025.05.02,145.339,145.924,143.727,1.51
2025.05.01,142.907,145.734,142.878,2.00
2025.04.30,142.244,143.188,142.131,0.74
2025.04.29,141.968,142.756,141.938,0.58
2025.04.28,143.539,143.893,141.954,1.35
2025.04.25,142.578,144.029,142.531,1.05
2025.04.24,143.442,143.442,142.276,0.81
2025.04.23,141.519,143.571,141.452,1.50
2025.04.22,140.779,141.667,139.885,1.27
2025.04.21,142.065,142.129,140.467,1.17
2025.04.18,142.357,142.470,142.091,0.27
2025.04.17,141.837,143.087,141.611,1.04
2025.04.16,143.036,143.278,141.641,1.14
2025.04.15,142.897,143.592,142.596,0.70
2025.04.14,143.876,144.080,142.227,1.29
2025.04.11,144.423,144.664,142.060,1.80
2025.04.10,147.492,147.710,144.004,2.51
2025.04.09,146.215,148.277,143.992,2.93
2025.04.08,147.804,148.118,145.962,1.46
2025.04.07,145.475,148.147,144.813,2.29
2025.04.04,146.055,147.429,144.550,1.97
2025.04.03,149.216,149.253,145.183,2.73
2025.04.02,149.592,150.484,149.100,0.93
2025.04.01,149.949,150.140,148.970,0.78
2025.03.31,149.721,150.264,148.698,1.05
2025.03.28,151.031,151.208,149.682,1.01
2025.03.27,150.559,151.156,150.058,0.73
2025.03.26,149.895,150.743,149.838,0.60
2025.03.25,150.688,150.942,149.546,0.93
2025.03.24,149.329,150.754,149.329,0.95
2025.03.21,148.764,149.660,148.585,0.72
2025.03.20,148.674,148.959,148.178,0.53
2025.03.19,149.251,150.146,148.604,1.03
2025.03.18,149.193,149.934,149.088,0.57
2025.03.17,148.753,149.283,148.260,0.69
2025.03.14,147.801,149.020,147.689,0.90
2025.03.13,148.224,148.370,147.411,0.65
2025.03.12,147.757,149.194,147.496,1.15
