Date/Time,Open,High,Low,Difference %
2025.12.03,4206.66,4228.83,4202.70,0.62
2025.12.02,4232.33,4235.98,4163.62,1.71
2025.12.01,4222.45,4264.56,4205.44,1.40
2025.11.28,4158.33,4226.88,4154.67,1.74
2025.11.27,4162.98,4168.76,4142.70,0.63
2025.11.26,4133.96,4173.46,4129.83,1.06
2025.11.25,4133.95,4159.32,4109.68,1.20
2025.11.24,4069.90,4139.86,4040.21,2.45
2025.11.21,4076.37,4101.05,4022.08,1.94
2025.11.20,4079.88,4110.27,4038.97,1.75
2025.11.19,4068.01,4132.80,4055.66,1.90
2025.11.18,4050.68,4082.40,3998.08,2.08
2025.11.17,4081.88,4106.71,4006.96,2.44
2025.11.14,4170.97,4211.27,4032.29,4.29
2025.11.13,4195.49,4245.05,4145.45,2.37
2025.11.12,4127.87,4211.75,4098.91,2.73
2025.11.11,4115.54,4149.02,4097.13,1.26
2025.11.10,3999.02,4116.47,3997.85,2.97
2025.11.07,3980.98,4027.51,3974.54,1.33
2025.11.06,3981.02,4019.61,3964.56,1.38
2025.11.05,3934.17,3990.51,3929.21,1.56
2025.11.04,4001.39,4005.82,3928.83,1.92
2025.11.03,3990.13,4030.62,3962.25,1.71
2025.10.31,4019.62,4046.21,3972.23,1.84
2025.10.30,3922.28,4027.22,3915.45,2.85
2025.10.29,3953.40,4030.15,3914.18,2.93
2025.10.28,3987.10,4019.72,3886.62,3.34
2025.10.27,4072.89,4109.21,3971.64,3.38
2025.10.24,4129.62,4144.50,4044.45,2.42
2025.10.23,4096.98,4154.74,4066.11,2.16
2025.10.22,4126.00,4161.29,4004.66,3.80
2025.10.21,4353.24,4375.41,4082.40,6.73
2025.10.20,4247.48,4381.37,4219.13,3.82
2025.10.17,4329.48,4379.60,4186.33,4.46
2025.10.16,4208.28,4330.58,4199.91,3.11
2025.10.15,4144.70,4218.32,4140.78,1.87
2025.10.14,4110.06,4179.74,4090.44,2.17
2025.10.13,4004.75,4117.02,4003.65,2.83
2025.10.10,3975.98,4022.82,3947.14,1.90
2025.10.09,4041.26,4057.99,3944.84,2.80
2025.10.08,3985.00,4059.16,3983.36,1.90
2025.10.07,3959.04,3991.06,3940.87,1.27
2025.10.06,3888.52,3970.04,3884.37,2.20
2025.10.03,3856.19,3891.67,3838.06,1.39
2025.10.02,3868.72,3896.63,3819.40,2.00
2025.10.01,3858.86,3895.37,3853.30,1.09
2025.09.30,3832.77,3871.72,3793.18,2.05
2025.09.29,3758.56,3834.10,3757.83,2.03
2025.09.26,3750.98,3783.76,3734.55,1.31
2025.09.25,3737.40,3761.63,3722.18,1.06
2025.09.24,3766.15,3779.25,3717.57,1.64
2025.09.23,3745.34,3791.14,3736.68,1.45
2025.09.22,3685.53,3748.83,3683.70,1.77
2025.09.19,3643.58,3685.47,3632.32,1.46
2025.09.18,3659.67,3672.94,3628.03,1.23
2025.09.17,3689.44,3707.53,3646.23,1.66
2025.09.16,3680.49,3703.06,3674.60,0.77
2025.09.15,3644.54,3685.63,3626.49,1.62
2025.09.12,3633.82,3656.69,3630.53,0.72
2025.09.11,3642.43,3649.03,3613.13,0.99
2025.09.10,3622.61,3657.63,3620.47,1.03
2025.09.09,3635.73,3675.12,3626.10,1.35
2025.09.08,3584.08,3646.50,3579.56,1.87
2025.09.05,3546.06,3600.14,3540.10,1.69
2025.09.04,3560.70,3564.11,3511.57,1.48
2025.09.03,3532.23,3578.50,3526.26,1.48
2025.09.02,3476.29,3540.07,3470.09,2.01
2025.09.01,3446.02,3489.85,3437.09,1.53
2025.08.29,3417.39,3453.94,3404.32,1.45
2025.08.28,3398.44,3423.18,3384.58,1.14
2025.08.27,3393.60,3398.82,3373.81,0.74
2025.08.26,3365.62,3393.50,3351.32,1.25
2025.08.25,3371.68,3376.26,3359.78,0.49
2025.08.22,3338.64,3378.80,3321.46,1.72
2025.08.21,3350.42,3352.28,3325.30,0.81
2025.08.20,3316.41,3350.22,3311.56,1.17
2025.08.19,3333.84,3345.30,3314.97,0.91
